Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
365,Fuca1-4(Galb1-3)GlcNAcb1-2Mana1-6(Fuca1-4(Galb1-3)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,2.7069,2.140923583,79.0913437,-9.4786662,#NUM!
343,GlcNAca1-4Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,2.67775,4.202166169,156.9289952,-4.836136693,#NUM!
172,Galb1-4Glcb-Sp8,2.641125,6.580686415,249.1622477,-3.093731218,#NUM!
523,GalNAca1-3(Fuca1-2)Galb1-4 GlcNAcb1-2Mana-Sp0,2.593075,1.56605407,60.39370514,-13.0307921,#NUM!
95,GalNAcb1-3(Fuca1-2)Galb-Sp8,2.5531,1.551704441,60.77726847,-13.17705837,#NUM!
190,GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-Sp8,2.542825,6.465416919,254.2611827,-3.164092162,#NUM!
211,Mana1-2Mana1-6(Mana1-3)Mana1-6(Mana1-2Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,2.518125,4.330862516,171.9875906,-4.729283122,#NUM!
430,Fuca1-3GlcNAcb1-6(Galb1-4GlcNAcb1-3)Galb1-4Glc-Sp21,2.513825,3.974460929,158.1041214,-5.15445374,#NUM!
96,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,2.486125,2.420113939,97.3448213,-8.476408764,#NUM!
425,Gala1-3Galb1-3GlcNAcb1-3GalNAc-Sp14,2.4365,2.312905477,94.9273744,-8.890765404,#NUM!
321,Neu5Aca2-8Neu5Acb-Sp17,2.428575,13.77576462,567.2365326,-1.493305495,#NUM!
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,2.42535,5.437918196,224.2116889,-3.783552687,#NUM!
424,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb1-3GalNAc-Sp14,2.3912,5.505421786,230.2367759,-3.743364414,#NUM!
498,Gala1-3(Fuca1-2)Galb1-4GlcNAcb1-6GalNAca-Sp14,2.37875,4.278626821,179.868705,-4.819595367,#NUM!
521,Gala1-3Galb1-4GlcNAcb1-2Mana-Sp0,2.353175,3.584120887,152.3100019,-5.760638565,#NUM!
232,GalNAcb1-4(Neu5Aca2-3)Galb1-4GlcNAcb-Sp8,2.3245,2.239088361,96.32559091,-9.233891955,#NUM!
99,GalNAcb1-4GlcNAcb-Sp8,2.3048,1.792837652,77.78712479,-11.54326493,#NUM!
174,GlcNAca1-6Galb1-4GlcNAcb-Sp8,2.247125,4.796381454,213.4452446,-4.326777426,#NUM!
454,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-6(GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,2.230325,1.923377298,86.23753478,-10.79854432,#NUM!
410,Galb1-4GlcNAcb1-6(Neu5Aca2-6Galb1-3GlcNAcb1-3)Galb1-4Glc-Sp21,2.21565,3.788977671,171.0097565,-5.485477035,#NUM!
562,GalNAcb1-3GlcNAcb-Sp0 ,2.19895,5.18105299,235.6148612,-4.014830583,#NUM!
332,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,2.194875,7.653024401,348.6770044,-2.718549414,#NUM!
377,Neu5Aca2-6Galb1-4GlcNAcb1-3GalNAc-Sp14,2.19315,7.185507257,327.6340997,-2.895668915,#NUM!
503,GalNAcb1-4(Fuca1-3)(6S)GlcNAcb-Sp8,2.14645,3.766126311,175.458376,-5.53713505,#NUM!
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,2.1323,5.308972186,248.9786703,-3.930647829,#NUM!
162,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,2.111375,1.800661013,85.28380854,-11.60053161,#NUM!
16,GlcNAcb-Sp0,2.10585,2.369659473,112.5274579,-8.817363946,#NUM!
594,GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp14,2.0632,7.884359879,382.1422973,-2.655485077,#NUM!
448,Galb1-4GlcNAcb1-2Mana-Sp0,2.04845,2.976664906,145.313037,-7.038598788,#NUM!
60,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,2.02585,3.868825199,190.9729347,-5.421322733,#NUM!
492,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp0,2.023625,7.52025402,371.6229054,-2.789317348,#NUM!
396,Neu5Aca2-3Galb1-3GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp19,2.0208,3.208090345,158.753481,-6.539466706,#NUM!
213,Mana1-6(Mana1-3)Mana-Sp9,2.01235,0.798008908,39.65557222,-26.30001971,#NUM!
287,Neu5Gca-Sp8,1.96915,1.689631101,85.80509869,-12.44700692,#NUM!
468,Gala1-3(Fuca1-2)Galb1-3GalNAcb-Sp8,1.79965,2.664373626,148.0495444,-7.956973375,#NUM!
220,Fuca1-2(6S)Galb1-4GlcNAcb-Sp0,1.789175,4.776775838,266.9820357,-4.440406191,#NUM!
123,Gala1-4GlcNAcb-Sp8,1.757225,5.136179314,292.2892239,-4.135909924,#NUM!
507,GlcNAcb1-6(GlcNAcb1-2)Mana1-6(GlcNAcb1-4)(GlcNAcb1-4(GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAc-Sp21,1.62245,3.981261949,245.3858023,-5.369541184,#NUM!
171,Galb1-4Glcb-Sp0,1.614625,4.5584205,282.3206937,-4.691400234,#NUM!
147,Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,1.571175,6.228632551,396.4314956,-3.440373923,#NUM!
338,GlcNAca1-4Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,1.547525,2.185896468,141.2511247,-9.814039829,#NUM!
111,Gala1-3GalNAca-Sp16,1.543,8.171251483,529.5691175,-2.625913551,#NUM!
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,1.482875,1.287448175,86.82108571,-16.71300284,#NUM!
593,GlcNAcb1-3Galb1-4GlcNAcb1-3GalNAca-Sp14,1.467825,7.34627658,500.487223,-2.931032444,#NUM!
90,GalNAca1-3(Fuca1-2)Galb-Sp18,1.45685,2.302192951,158.0253939,-9.357664826,#NUM!
47,(6S)GlcNAcb-Sp8,1.42775,2.897516465,202.9428447,-7.445082802,#NUM!
215,Mana1-6(Mana1-3)Mana1-6(Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,1.375225,1.806519313,131.3617272,-11.97040897,#NUM!
535,GlcNAcb1-3Galb1-4GlcNAcb1-6(GlcNAcb1-3)Galb1-4GlcNAc-Sp0,1.33835,1.876857353,140.236661,-11.54144718,#NUM!
304,Galb1-4GlcNAca1-6Galb1-4GlcNAcb-Sp0,1.332625,3.399084755,255.0668609,-6.374473296,#NUM!
